1988,A Nightmare on Elm Street 4: The Dream Master,$49.37M,,,,,,
1988,The Land Before Time,$48.09M,,,,,,
1988,Colors,$46.62M,,,,,,
1988,Young Guns,$45.66M,,,,,,
1988,Biloxi Blues,$43.18M,,,,,,
1988,Dirty Rotten Scoundrels,$42.04M,,,,,,
1988,The Great Outdoors,$41.46M,,,,,,
1988,Tequila Sunrise,$41.29M,,,,,,
1988,Big Business,$40.15M,,,,,,
1988,Midnight Run,$38.41M,,,,,,
1988,The Dead Pool,$37.90M,,,,,,
1988,Red Heat,$34.99M,,,,,,
1988,Dangerous Liaisons,$34.70M,,,,,,
1988,Mississippi Burning,$34.60M,,,,,,
1988,Child's Play,$33.24M,,,,,,
1988,The Accidental Tourist,$32.63M,,,,,,
1988,The Accused,$32.07M,,,,,,
1988,The Bear,$31.75M,,,,,,
1988,Shoot to Kill,$29.30M,,,,,,
1988,Ernest Saves Christmas,$28.20M,,,,,,
1988,Betrayed,$25.82M,,,,,,
1988,Funny Farm,$25.54M,,,,,,
1988,Alien Nation,$25.22M,,,,,,
1988,Gorillas in the Mist,$24.72M,,,,,,
1988,License to Drive,$22.43M,,,,,,
1988,Short Circuit 2,$21.63M,,,,,,
1988,Married to the Mob,$21.49M,,,,,,
1988,Punchline,$21.03M,,,,,,
1988,Action Jackson,$20.26M,,,,,,
1988,The Presidio,$20.04M,,,,,,
1988,Tucker: The Man and His Dream,$19.65M,,,,,,
1988,The Serpent and the Rainbow,$19.60M,,,,,,
1988,Rain Man,$172.83M,,,,,,
1988,Who Framed Roger Rabbit,$156.45M,,,,,,
1988,Coming to America,$128.15M,,,,,,
1988,Big,$114.97M,,,,,,
1988,Twins,$111.94M,,,,,,
1988,Crocodile Dundee II,$109.31M,,,,,,
1988,Die Hard,$83.01M,,,,,,
1988,Cocktail,$78.22M,,,,,,
1988,The Naked Gun: From the Files of Police Squad!,$78.04M,,,,,,
1988,Oliver & Company,$74.15M,,,,,,
1988,Beetlejuice,$73.71M,,,,,,
1988,Working Girl,$64.00M,,,,,,
1988,A Fish Called Wanda,$63.49M,,,,,,
1988,Scrooged,$60.33M,,,,,,
1988,Willow,$57.27M,,,,,,
1988,Beaches,$57.04M,,,,,,
1988,Rambo III,$53.72M,,,,,,
1988,Bull Durham,$50.89M,,,,,,
1988,A Nightmare on Elm Street 4: The Dream Master,$49.37M,,,,,,
1988,The Land Before Time,$48.09M,,,,,,
1988,Colors,$46.62M,,,,,,
1988,Young Guns,$45.66M,,,,,,
1988,Biloxi Blues,$43.18M,,,,,,
1988,Dirty Rotten Scoundrels,$42.04M,,,,,,
1988,The Great Outdoors,$41.46M,,,,,,
1988,Tequila Sunrise,$41.29M,,,,,,
1988,Big Business,$40.15M,,,,,,
1988,Midnight Run,$38.41M,,,,,,
1988,The Dead Pool,$37.90M,,,,,,
1988,Red Heat,$34.99M,,,,,,
1988,Dangerous Liaisons,$34.70M,,,,,,
1988,Mississippi Burning,$34.60M,,,,,,
1988,Child's Play,$33.24M,,,,,,
1988,The Accidental Tourist,$32.63M,,,,,,
1988,The Accused,$32.07M,,,,,,
1988,The Bear,$31.75M,,,,,,
1988,Shoot to Kill,$29.30M,,,,,,
1988,Ernest Saves Christmas,$28.20M,,,,,,
1988,Betrayed,$25.82M,,,,,,
1988,Funny Farm,$25.54M,,,,,,
1988,Alien Nation,$25.22M,,,,,,
1988,Gorillas in the Mist,$24.72M,,,,,,
1988,License to Drive,$22.43M,,,,,,
1988,Short Circuit 2,$21.63M,,,,,,
1988,Married to the Mob,$21.49M,,,,,,
1988,Punchline,$21.03M,,,,,,
1988,Action Jackson,$20.26M,,,,,,
1988,The Presidio,$20.04M,,,,,,
1988,Tucker: The Man and His Dream,$19.65M,,,,,,
1988,The Serpent and the Rainbow,$19.60M,,,,,,
1989,Batman,$251.19M,,,,,,
1989,Indiana Jones and the Last Crusade,$197.17M,,,,,,
1989,Lethal Weapon 2,$147.25M,,,,,,
1989,Look Who's Talking,$140.09M,$130.72M,,,,,
1989,|Honey, I Shrunk the Kids|,,,,,,
1989,Back to the Future Part II,$118.50M,,,,,,
1989,Ghostbusters II,$112.49M,,,,,,
1989,The Little Mermaid,$111.54M,,,,,,
1989,Driving Miss Daisy,$106.59M,,,,,,
1989,Parenthood,$100.05M,,,,,,
1989,Dead Poets Society,$95.86M,,,,,,
1989,When Harry Met Sally...,$92.82M,,,,,,
1989,The War of the Roses,$86.89M,,,,,,
1989,Steel Magnolias,$83.76M,,,,,,
1989,National Lampoon's Christmas Vacation,$71.32M,,,,,,
1989,Turner & Hooch,$71.08M,,,,,,
1989,Born on the Fourth of July,$70.00M,,,,,,
1989,Uncle Buck,$66.76M,,,,,,
1989,Field of Dreams,$64.43M,,,,,,
1989,Tango & Cash,$63.41M,,,,,,
1989,Harlem Nights,$60.86M,,,,,,
1989,Sea of Love,$58.57M,,,,,,
1989,Pet Sematary,$57.47M,,,,,,
1989,The Abyss,$54.46M,,,,,,
1989,Star Trek V: The Final Frontier,$52.21M,,,,,,
1989,Major League,$49.80M,$46.91M,,,,,
1989,|See No Evil, Hear No Evil|,,,,,,
1989,Black Rain,$46.21M,,,,,,
1989,Always,$43.86M,,,,,,
1989,K-9,$43.25M,,,,,,
1989,Three Fugitives,$40.59M,,,,,,
1989,Bill & Ted's Excellent Adventure,$40.49M,,,,,,
1989,The Karate Kid Part III,$38.96M,,,,,,
1989,The 'Burbs,$36.60M,,,,,,
1989,Fletch Lives,$35.15M,,,,,,
1989,Licence to Kill,$34.67M,,,,,,
1989,Lean on Me,$31.91M,,,,,,
1989,Weekend at Bernie's,$30.22M,,,,,,
1989,Road House,$30.05M,,,,,,
1989,The Dream Team,$28.89M,,,,,,
1989,Do the Right Thing,$27.55M,,,,,,
1989,All Dogs Go to Heaven,$27.10M,,,,,,
1989,Glory,$26.83M, and Videotape|,$24.74M,,,,
1989,|Sex, Lies,,,,,,
1989,A Nightmare on Elm Street 5: The Dream Child,$22.17M,,,,,,
1989,Lock Up,$22.10M,,,,,,
1989,Cousins,$22.03M,,,,,,
1989,Say Anything...,$20.78M,,,,,,
1989,An Innocent Man,$20.05M,,,,,,
1989,The Fly II,$20.02M,,1990,Home Alone,$285.76M,,
1990,Ghost,$217.63M,,,,,,
1990,Dances with Wolves,$184.21M,,,,,,
1990,Pretty Woman,$178.41M,,,,,,
1990,Teenage Mutant Ninja Turtles,$135.27M,,,,,,
1990,The Hunt for Red October,$122.01M,,,,,,
1990,Total Recall,$119.39M,,,,,,
1990,Die Hard 2,$117.54M,,,,,,
1990,Dick Tracy,$103.74M,,,,,,
1990,Kindergarten Cop,$91.46M,,,,,,
1990,Back to the Future Part III,$87.73M,,,,,,
1990,Presumed Innocent,$86.30M,,,,,,
1990,Days of Thunder,$82.67M,,,,,,
1990,Another 48 Hrs.,$80.82M,,,,,,
1990,3 Men and a Little Lady,$71.61M,,,,,,
1990,Bird on a Wire,$70.98M,,,,,,
1990,The Godfather: Part III,$66.67M,,,,,,
1990,Flatliners,$61.49M,,,,,,
1990,Misery,$61.28M,,,,,,
1990,Edward Scissorhands,$56.36M,,,,,,
1990,Problem Child,$53.47M,,,,,,
1990,Arachnophobia,$53.21M,,,,,,
1990,Awakenings,$52.10M,,,,,,
1990,Look Who's Talking Too,$47.49M,,,,,,
1990,Hard to Kill,$47.41M,,,,,,
1990,Goodfellas,$46.84M,,,,,,
1990,Marked for Death,$46.04M,,,,,,
1990,RoboCop 2,$45.68M,,,,,,
1990,Young Guns II,$44.14M,,,,,,
1990,Gremlins 2: The New Batch,$41.48M,,,,,,
1990,Rocky V,$40.95M,,,,,,
1990,Joe Versus the Volcano,$39.40M,,,,,,
1990,Postcards from the Edge,$37.96M,,,,,,
1990,Mermaids,$35.42M,,,,,,
1990,Darkman,$33.88M,,,,,,
1990,Air America,$31.05M,,,,,,
1990,Predator 2,$30.67M,,,,,,
1990,Green Card,$29.89M,,,,,,
1990,Pacific Heights,$29.38M,,,,,,
1990,Child's Play 2,$28.50M,,,,,,
1990,The Rescuers Down Under,$27.93M,,,,,,
1990,Internal Affairs,$27.73M,,,,,,
1990,Cadillac Man,$27.63M,,,,,,
1990,Memphis Belle,$27.44M,,,,,,
1990,House Party,$26.39M,,,,,,
1990,Jacob's Ladder,$26.12M,,,,,,
1990,The Exorcist III,$26.10M,,,,,,
1990,Navy Seals,$25.07M,,,,,,
1990,Ernest Goes to Jail,$25.03M,,,,,,
1990,Ghost Dad,$24.71M,,,,,,
1990,Home Alone,$285.76M,,,,,,
1990,Ghost,$217.63M,,,,,,
1990,Dances with Wolves,$184.21M,,,,,,
1990,Pretty Woman,$178.41M,,,,,,
1990,Teenage Mutant Ninja Turtles,$135.27M,,,,,,
1990,The Hunt for Red October,$122.01M,,,,,,
1990,Total Recall,$119.39M,,,,,,
1990,Die Hard 2,$117.54M,,,,,,
1990,Dick Tracy,$103.74M,,,,,,
1990,Kindergarten Cop,$91.46M,,,,,,
1990,Back to the Future Part III,$87.73M,,,,,,
1990,Presumed Innocent,$86.30M,,,,,,
1990,Days of Thunder,$82.67M,,,,,,
1990,Another 48 Hrs.,$80.82M,,,,,,
1990,3 Men and a Little Lady,$71.61M,,,,,,
1990,Bird on a Wire,$70.98M,,,,,,
1990,The Godfather: Part III,$66.67M,,,,,,
1990,Flatliners,$61.49M,,,,,,
1990,Misery,$61.28M,,,,,,
1990,Edward Scissorhands,$56.36M,,,,,,
1990,Problem Child,$53.47M,,,,,,
1990,Arachnophobia,$53.21M,,,,,,
1990,Awakenings,$52.10M,,,,,,
1990,Look Who's Talking Too,$47.49M,,,,,,
1990,Hard to Kill,$47.41M,,,,,,
1990,Goodfellas,$46.84M,,,,,,
1990,Marked for Death,$46.04M,,,,,,
1990,RoboCop 2,$45.68M,,,,,,
1990,Young Guns II,$44.14M,,,,,,
1990,Gremlins 2: The New Batch,$41.48M,,,,,,
1990,Rocky V,$40.95M,,,,,,
1990,Joe Versus the Volcano,$39.40M,,,,,,
1990,Postcards from the Edge,$37.96M,,,,,,
1990,Mermaids,$35.42M,,,,,,
1990,Darkman,$33.88M,,,,,,
1990,Air America,$31.05M,,,,,,
1990,Predator 2,$30.67M,,,,,,
1990,Green Card,$29.89M,,,,,,
1990,Pacific Heights,$29.38M,,,,,,
1990,Child's Play 2,$28.50M,,,,,,
1990,The Rescuers Down Under,$27.93M,,,,,,
1990,Internal Affairs,$27.73M,,,,,,
1990,Cadillac Man,$27.63M,,,,,,
1990,Memphis Belle,$27.44M,,,,,,
1990,House Party,$26.39M,,,,,,
1990,Jacob's Ladder,$26.12M,,,,,,
1990,The Exorcist III,$26.10M,,,,,,
1990,Navy Seals,$25.07M,,,,,,
1990,Ernest Goes to Jail,$25.03M,,,,,,
1990,Ghost Dad,$24.71M,,,,,,
1991,Beauty and the Beast,$218.97M,,,,,,
1991,Terminator 2,$204.84M,,,,,,
1991,Robin Hood: Prince of Thieves,$165.50M,,,,,,
1991,The Silence of the Lambs,$130.74M,,,,,,
1991,City Slickers,$124.03M,,,,,,
1991,Hook,$119.65M,,,,,,
1991,The Addams Family,$113.50M,,,,,,
1991,Sleeping with the Enemy,$101.60M,,,,,,
1991,Father of the Bride,$89.33M,,,,,,
1991,The Naked Gun 2_: The Smell of Fear,$86.93M,,,,,,
1991,Fried Green Tomatoes,$82.42M,,,,,,
1991,Cape Fear,$79.10M,,,,,,
1991,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,$78.66M,,,,,,
1991,Backdraft,$77.87M,,,,,,
1991,Star Trek VI: The Undiscovered Country,$74.89M,,,,,,
1991,The Prince of Tides,$74.79M,,,,,,
1991,JFK,$70.41M,,,,,,
1991,Hot Shots!,$69.47M,,,,,,
1991,What About Bob?,$63.71M,,,,,,
1991,My Girl,$59.85M,,,,,,
1991,The Last Boy Scout,$59.51M,,,,,,
1991,Boyz n the Hood,$57.50M,,,,,,
1991,Doc Hollywood,$54.83M,,,,,,
1991,Bugsy,$49.11M,,,,,,
1991,New Jack City,$47.62M,,,,,,
1991,The Rocketeer,$46.70M,,,,,,
1991,Thelma & Louise,$45.36M,,,,,,
1991,Drop Dead Fred,$43.88M,,,,,,
1991,Point Break,$43.22M,,,,,,
1991,Regarding Henry,$43.00M,,,,,,
1991,The Fisher King,$41.90M,,,,,,
1991,Out for Justice,$39.67M,,,,,,
1991,The Doctor,$38.12M,,,,,,
1991,Bill & Ted's Bogus Journey,$38.04M,,,,,,
1991,Dead Again,$38.02M,,,,,,
1991,Soapdish,$36.49M,,,,,,
1991,The Doors,$35.18M,,,,,,
1991,Freddy's Dead: The Final Nightmare,$34.87M,,,,,,
1991,White Fang,$34.79M,,,,,,
1991,King Ralph,$34.00M,,,,,,
1991,Curly Sue,$33.69M,,,,,,
1991,Dying Young,$33.67M,,,,,,
1991,Grand Canyon,$33.24M,,,,,,
1991,Jungle Fever,$32.48M,,,,,,
1991,Double Impact,$30.10M,,,,,,
1991,L.A. Story,$28.86M,,,,,,
1991,Deceived,$28.74M,,,,,,
1991,Necessary Roughness,$26.26M,,,,,,
1991,The Hard Way,$25.90M,,,,,,
1991,Other People's Money,$25.68M,,,,,,
1990,Home Alone,$285.76M,,,,,,
1990,Ghost,$217.63M,,,,,,
1990,Dances with Wolves,$184.21M,,,,,,
1990,Pretty Woman,$178.41M,,,,,,
1990,Teenage Mutant Ninja Turtles,$135.27M,,,,,,
1990,The Hunt for Red October,$122.01M,,,,,,
1990,Total Recall,$119.39M,,,,,,
1990,Die Hard 2,$117.54M,,,,,,
1990,Dick Tracy,$103.74M,,,,,,
1990,Kindergarten Cop,$91.46M,,,,,,
1990,Back to the Future Part III,$87.73M,,,,,,
1990,Presumed Innocent,$86.30M,,,,,,
1990,Days of Thunder,$82.67M,,,,,,
1990,Another 48 Hrs.,$80.82M,,,,,,
1990,3 Men and a Little Lady,$71.61M,,,,,,
1990,Bird on a Wire,$70.98M,,,,,,
1990,The Godfather: Part III,$66.67M,,,,,,
1990,Flatliners,$61.49M,,,,,,
1990,Misery,$61.28M,,,,,,
1990,Edward Scissorhands,$56.36M,,,,,,
1990,Problem Child,$53.47M,,,,,,
1990,Arachnophobia,$53.21M,,,,,,
1990,Awakenings,$52.10M,,,,,,
1990,Look Who's Talking Too,$47.49M,,,,,,
1990,Hard to Kill,$47.41M,,,,,,
1990,Goodfellas,$46.84M,,,,,,
1990,Marked for Death,$46.04M,,,,,,
1990,RoboCop 2,$45.68M,,,,,,
1990,Young Guns II,$44.14M,,,,,,
1990,Gremlins 2: The New Batch,$41.48M,,,,,,
1990,Rocky V,$40.95M,,,,,,
1990,Joe Versus the Volcano,$39.40M,,,,,,
1990,Postcards from the Edge,$37.96M,,,,,,
1990,Mermaids,$35.42M,,,,,,
1990,Darkman,$33.88M,,,,,,
1990,Air America,$31.05M,,,,,,
1990,Predator 2,$30.67M,,,,,,
1990,Green Card,$29.89M,,,,,,
1990,Pacific Heights,$29.38M,,,,,,
1990,Child's Play 2,$28.50M,,,,,,
1990,The Rescuers Down Under,$27.93M,,,,,,
1990,Internal Affairs,$27.73M,,,,,,
1990,Cadillac Man,$27.63M,,,,,,
1990,Memphis Belle,$27.44M,,,,,,
1990,House Party,$26.39M,,,,,,
1990,Jacob's Ladder,$26.12M,,,,,,
1990,The Exorcist III,$26.10M,,,,,,
1990,Navy Seals,$25.07M,,,,,,
1990,Ernest Goes to Jail,$25.03M,,,,,,
1990,Ghost Dad,$24.71M,,,,,,
1991,Beauty and the Beast,$218.97M,,,,,,
1991,Terminator 2,$204.84M,,,,,,
1991,Robin Hood: Prince of Thieves,$165.50M,,,,,,
1991,The Silence of the Lambs,$130.74M,,,,,,
1991,City Slickers,$124.03M,,,,,,
1991,Hook,$119.65M,,,,,,
1991,The Addams Family,$113.50M,,,,,,
1991,Sleeping with the Enemy,$101.60M,,,,,,
1991,Father of the Bride,$89.33M,,,,,,
1991,The Naked Gun 2_: The Smell of Fear,$86.93M,,,,,,
1991,Fried Green Tomatoes,$82.42M,,,,,,
1991,Cape Fear,$79.10M,,,,,,
1991,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,$78.66M,,,,,,
1991,Backdraft,$77.87M,,,,,,
1991,Star Trek VI: The Undiscovered Country,$74.89M,,,,,,
1991,The Prince of Tides,$74.79M,,,,,,
1991,JFK,$70.41M,,,,,,
1991,Hot Shots!,$69.47M,,,,,,
1991,What About Bob?,$63.71M,,,,,,
1991,My Girl,$59.85M,,,,,,
1991,The Last Boy Scout,$59.51M,,,,,,
1991,Boyz n the Hood,$57.50M,,,,,,
1991,Doc Hollywood,$54.83M,,,,,,
1991,Bugsy,$49.11M,,,,,,
1991,New Jack City,$47.62M,,,,,,
1991,The Rocketeer,$46.70M,,,,,,
1991,Thelma & Louise,$45.36M,,,,,,
1991,Drop Dead Fred,$43.88M,,,,,,
1991,Point Break,$43.22M,,,,,,
1991,Regarding Henry,$43.00M,,,,,,
1991,The Fisher King,$41.90M,,,,,,
1991,Out for Justice,$39.67M,,,,,,
1991,The Doctor,$38.12M,,,,,,
1991,Bill & Ted's Bogus Journey,$38.04M,,,,,,
1991,Dead Again,$38.02M,,,,,,
1991,Soapdish,$36.49M,,,,,,
1991,The Doors,$35.18M,,,,,,
1991,Freddy's Dead: The Final Nightmare,$34.87M,,,,,,
1991,White Fang,$34.79M,,,,,,
1991,King Ralph,$34.00M,,,,,,
1991,Curly Sue,$33.69M,,,,,,
1991,Dying Young,$33.67M,,,,,,
1991,Grand Canyon,$33.24M,,,,,,
1991,Jungle Fever,$32.48M,,,,,,
1991,Double Impact,$30.10M,,,,,,
1991,L.A. Story,$28.86M,,,,,,
1991,Deceived,$28.74M,,,,,,
1991,Necessary Roughness,$26.26M,,,,,,
1991,The Hard Way,$25.90M,,,,,,
1991,Other People's Money,$25.68M,,,,,,
1992,Aladdin,$217.35M,,,,,,
1992,Home Alone 2: Lost in New York,$173.59M,,,,,,
1992,Batman Returns,$162.83M,,,,,,
1992,Lethal Weapon 3,$144.73M,,,,,,
1992,A Few Good Men,$141.34M,,,,,,
1992,Sister Act,$139.61M,,,,,,
1992,The Bodyguard,$121.95M,,,,,,
1992,Wayne's World,$121.70M,,,,,,
1992,Basic Instinct,$117.73M,,,,,,
1992,A League of Their Own,$107.53M,,,,,,
1992,Unforgiven,$101.16M,,,,,,
1992,The Hand That Rocks the Cradle,$88.04M,,,,,,
1992,Under Siege,$83.36M,,,,,,
1992,Patriot Games,$83.29M,,,,,,
1992,Dracula,$82.52M,,,,,,
1992,White Men Can't Jump,$76.25M,,,,,,
1992,The Last of the Mohicans,$75.51M,,,,,,
1992,Boomerang,$70.10M,,,,,,
1992,Scent of a Woman,$63.90M,,,,,,
1992,The Crying Game,$62.55M,,,,,,
1992,Far and Away,$58.88M,,,,,,
1992,Honey I Blew Up the Kid,$58.66M,,,,,,
1992,HouseSitter,$58.50M,,,,,,
1992,Death Becomes Her,$58.42M,,,,,,
1992,Unlawful Entry,$57.14M,,,,,,
1992,Beethoven,$57.11M,,,,,,
1992,Forever Young,$55.96M,,,,,,
1992,Alien_,$55.47M,,,,,,
1992,My Cousin Vinny,$52.93M,,,,,,
1992,Sneakers,$51.43M,,,,,,
1992,The Mighty Ducks,$50.75M,,,,,,
1992,Malcolm X,$48.17M,,,,,,
1992,Single White Female,$47.92M,,,,,,
1992,The Distinguished Gentleman,$46.67M,,,,,,
1992,Medicine Man,$45.50M,,,,,,
1992,Passenger 57,$44.07M,,,,,,
1992,A River Runs Through It,$43.44M,,,,,,
1992,Encino Man,$40.69M,,,,,,
1992,Mo' Money,$40.23M,,,,,,
1992,Universal Soldier,$36.30M,,,,,,
1992,Honeymoon in Vegas,$35.21M,,,,,,
1992,The Lawnmower Man,$32.10M,,,,,,
1992,Sleepwalkers,$30.52M,,,,,,
1992,3 Ninjas,$29.00M,,,,,,
1992,Final Analysis,$28.59M,,,,,,
1992,Stop! Or My Mom Will Shoot,$28.41M,,,,,,
1992,The Muppet Christmas Carol,$27.28M,,,,,,
1992,Howards End,$25.97M,,,,,,
1992,Candyman,$25.79M,,,,,,
1992,The Cutting Edge,$25.11M,,,,1992,Aladdin,$217.35M
1992,Home Alone 2: Lost in New York,$173.59M,,,,,,
